Models,Single-Turn Generation,,,,,,Multi-Turn Editing,,,,,
,0 Inst,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst,0 Inst,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst
Gemini 2.5 Pro,50.35,50.18,49.04,49.91,50.53,49.65,50.35,49.47,49.12,48.33,47.89,47.81
Gemini 2.5 Flash,47.37,47.02,46.84,46.14,46.75,46.23,47.37,46.93,46.84,46.67,45.96,45.61
Gemini 2.0 Flash,48.42,47.19,48.25,47.63,46.67,46.05,48.42,47.02,45.96,45.26,44.39,43.86
Gemini 2.0 Flash Lite,46.93,44.56,43.51,43.60,43.68,42.98,46.93,45.53,44.74,44.47,42.89,42.81
Claude 4 Opus,51.05,51.49,52.19,53.25,51.93,52.11,51.05,50.79,50.53,50.00,49.39,49.12
Claude 4 Sonnet,51.84,51.93,52.11,51.67,51.58,51.58,51.84,51.40,50.79,50.00,49.74,49.04
Claude 3.7 Sonnet,51.32,50.53,50.79,50.44,50.18,49.82,51.32,50.79,50.61,49.74,49.14,48.60
Claude 3.5 Sonnet,48.42,45.96,45.70,45.79,45.79,44.47,48.42,45.96,45.18,44.21,43.16,42.19
Claude 3.5 Haiku,46.58,44.12,44.56,43.33,43.16,42.19,46.58,43.33,41.93,39.39,38.60,36.67
Claude 3 Haiku,38.07,37.98,37.63,35.26,35.35,35.26,38.07,35.53,33.95,32.89,31.49,31.23
DeepSeek R1 0528,49.21,48.60,49.12,49.82,48.42,47.72,49.21,48.42,48.68,47.28,47.72,47.11
DeepSeek V3 0324,50.18,49.21,49.74,48.68,47.72,48.68,50.18,47.63,46.23,45.53,44.21,42.02
GPT 5,46.49,46.23,43.86,45.44,45.00,45.61,46.49,45.70,45.18,44.47,44.04,43.95
o4 mini,52.28,50.18,47.37,49.21,48.42,47.28,52.28,51.14,49.82,48.60,48.60,48.07
o3 mini high,49.91,47.63,44.91,45.00,42.46,43.25,49.74,48.60,47.02,46.32,45.18,44.82
GPT 4.1,47.54,48.42,47.63,46.93,45.26,44.39,47.54,46.40,44.91,44.12,44.04,43.77
GPT 4.1 mini,49.04,48.77,48.25,47.72,46.84,46.40,49.04,46.93,45.88,45.61,45.00,44.74
GPT 4o,49.82,49.21,48.33,47.63,47.89,48.16,49.82,48.60,47.54,46.58,46.32,45.88
GPT 4o mini,46.05,43.33,43.51,42.72,43.16,42.37,46.05,42.46,43.07,41.58,40.70,40.70
Grok 4,53.07,52.98,52.46,52.28,51.14,52.54,53.07,52.37,51.93,52.02,51.32,50.70
Grok 3 mini beta,48.77,47.54,46.40,44.91,44.82,44.21,48.77,47.72,46.40,45.96,45.00,44.30
Qwen 3 235B A22B,48.86,48.25,47.89,47.98,47.19,47.37,48.86,48.33,46.93,45.96,44.82,44.56
Qwen 3 32B,47.63,47.46,46.40,45.44,45.18,44.30,47.63,46.23,45.53,44.30,43.33,42.54
Qwen 3 30B A3B,46.40,45.18,44.74,44.82,44.04,43.07,46.40,45.53,44.12,43.68,42.89,42.72
Qwen 2.5 72B Instruct,44.39,41.49,40.61,39.56,39.47,39.04,44.39,40.44,39.56,38.95,38.07,37.28
Qwen 2.5 Coder,49.39,46.49,47.81,46.32,43.68,43.51,49.39,46.49,45.00,43.25,42.98,42.98
Gemma 3 27B,45.70,42.63,42.11,42.54,41.32,42.02,45.70,44.04,43.25,42.63,41.75,40.35
Gemma 3 12B,40.00,37.89,38.51,37.02,36.14,36.84,40.00,37.81,37.37,36.14,35.09,33.86
Mistral Medium 3,45.44,43.07,41.67,41.32,41.14,40.53,45.44,42.81,42.63,41.49,41.32,40.96
MiniMax M1,48.68,46.32,46.40,47.02,46.14,46.93,48.68,48.51,47.72,46.84,46.05,45.53
Kimi K2,47.19,47.72,47.28,47.63,47.11,46.23,47.19,46.14,45.26,45.88,45.09,44.30
