Models,Code Generation,,,,,,,,,,Code Editing,,,,,,,,,
,Instruction,,,,,Task,,,,,Instruction,,,,,Task,,,,
,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst
Gemini 2.5 Pro,82.19,78.03,79.18,78.82,79.47,82.19,60.70,48.16,37.46,30.70,84.56,82.54,81.73,81.54,80.47,84.56,68.33,55.61,44.21,33.68
Gemini 2.5 Flash,81.67,77.81,77.34,75.35,75.91,81.67,61.05,43.68,30.53,25.70,78.68,75.35,74.62,73.57,73.25,78.68,56.75,40.96,29.12,21.75
Gemini 2.0 Flash,73.42,72.76,72.95,72.35,72.04,73.42,53.77,39.47,26.40,18.16,78.86,75.39,74.65,73.95,73.30,78.86,59.39,44.56,32.46,22.46
Gemini 2.0 Flash Lite,70.44,69.96,69.30,68.62,68.89,70.44,48.60,32.63,22.02,15.26,74.39,71.01,70.58,69.39,68.82,74.39,50.61,35.18,24.12,15.35
Claude 4 Opus,88.77,87.46,86.05,85.55,85.60,88.77,76.32,64.21,52.98,46.75,87.02,85.75,85.18,84.87,84.30,87.02,73.16,61.05,51.32,42.11
Claude 4 Sonnet,84.91,82.54,81.37,81.29,81.37,84.91,67.19,52.28,42.98,35.26,86.40,85.39,84.85,84.12,83.98,86.40,72.54,61.23,51.05,42.89
Claude 3.7 Sonnet,80.26,76.27,75.47,74.25,74.26,80.26,56.93,39.91,27.46,22.28,81.58,79.82,78.83,78.62,78.18,81.58,63.51,48.51,38.16,29.39
Claude 3.5 Sonnet,80.61,77.54,76.02,75.18,74.70,80.61,59.74,42.98,32.37,24.47,84.21,80.53,79.39,78.49,77.49,84.21,66.40,52.54,42.02,32.28
Claude 3.5 Haiku,64.56,64.74,63.71,63.07,63.82,64.56,42.46,26.14,15.53,10.09,79.91,73.38,71.26,68.20,65.60,79.91,57.63,42.72,30.00,19.82
Claude 3 Haiku,67.89,65.09,64.88,63.73,64.53,67.89,41.84,26.05,16.93,11.93,76.32,72.63,72.11,70.96,70.56,76.32,53.60,37.89,26.49,18.77
DeepSeek R1 0528,74.04,69.78,69.01,69.28,67.71,74.04,49.21,33.42,25.00,17.63,77.02,74.12,72.37,71.69,71.05,77.02,55.18,38.16,26.67,18.51
DeepSeek V3 0324,67.89,63.77,64.04,63.88,65.09,67.89,39.21,24.74,15.00,10.88,73.95,70.61,70.41,69.23,67.72,73.95,52.02,37.19,24.65,14.74
GPT 5,82.89,82.28,81.96,81.64,81.77,82.89,67.63,54.04,42.98,34.39,84.91,85.18,85.94,85.83,86.39,84.91,72.37,62.98,55.26,48.51
o4 mini,84.82,84.21,83.25,83.68,84.25,84.82,70.79,57.11,47.98,41.32,88.51,86.10,84.18,83.60,83.28,88.51,74.74,61.23,50.09,41.84
o3 mini high,80.70,75.79,73.63,72.79,71.68,80.70,60.61,45.88,36.40,28.25,82.46,80.31,79.71,78.38,78.16,82.46,66.32,53.16,42.11,34.56
GPT 4.1,81.40,78.07,78.60,77.28,77.75,81.40,59.91,47.81,35.44,28.16,82.63,80.31,79.09,78.36,77.79,82.63,65.26,50.88,39.82,31.58
GPT 4.1 mini,78.16,75.57,75.15,74.19,73.42,78.16,56.23,41.49,30.26,21.75,79.21,76.71,75.88,74.08,73.09,79.21,59.39,44.74,33.68,25.53
GPT 4o,77.46,74.87,74.56,73.25,73.44,77.46,55.00,39.56,27.63,20.79,85.09,82.37,80.79,79.45,78.35,85.09,68.33,52.72,40.88,30.70
GPT 4o mini,76.40,73.82,73.13,73.33,73.32,76.40,53.86,38.68,29.30,21.84,78.16,76.40,75.18,74.10,73.60,78.16,59.74,44.12,32.54,23.42
Grok 4,87.11,85.61,84.77,84.39,84.81,87.11,73.42,60.18,51.84,43.16,88.51,87.19,86.93,86.29,85.37,88.51,76.40,66.05,55.96,47.19
Grok 3 mini beta,82.81,80.04,78.25,77.81,77.46,82.81,64.21,48.86,36.58,28.42,79.21,77.46,76.49,75.37,75.05,79.21,61.40,46.93,34.91,25.96
Qwen 3 235B A22B,83.95,81.05,80.38,79.30,78.63,83.95,66.75,52.28,42.28,31.93,85.09,81.89,80.50,80.13,78.89,85.09,67.63,51.84,41.32,32.28
Qwen 3 32B,76.75,72.81,71.81,70.92,71.35,76.75,53.86,36.49,26.58,20.70,82.02,80.53,78.92,77.39,76.33,82.02,65.79,51.49,39.82,30.70
Qwen 3 30B A3B,73.42,71.67,70.79,69.43,69.81,73.42,52.46,36.23,25.79,19.56,79.91,78.51,78.07,77.17,76.54,79.91,62.46,48.16,37.46,29.56
Qwen 2.5 72B Instruct,73.68,72.32,71.78,70.48,70.33,73.68,53.07,37.37,24.56,16.84,79.47,75.57,75.32,73.88,72.75,79.47,60.53,45.70,33.25,24.21
Qwen 2.5 Coder,71.40,67.11,67.57,65.42,65.77,71.40,44.82,30.70,20.09,12.81,73.33,71.71,71.26,69.76,68.86,73.33,52.46,36.93,24.04,15.88
Gemma 3 27B,68.42,67.06,65.50,64.56,65.02,68.42,44.56,27.11,16.93,10.96,73.60,69.65,69.30,68.14,66.72,73.60,48.42,33.33,21.93,14.12
Gemma 3 12B,65.96,66.14,65.44,65.26,65.00,65.96,44.39,27.98,18.42,11.05,67.54,67.76,67.19,66.05,64.95,67.54,46.75,31.58,20.09,12.81
Mistral Medium 3,73.60,72.11,71.02,70.79,70.54,73.60,51.93,36.32,25.09,16.05,76.05,75.44,74.06,73.11,71.65,76.05,58.33,41.58,28.60,19.30
MiniMax M1,74.12,70.75,71.70,71.07,70.89,74.12,51.23,37.98,28.07,20.35,77.63,74.30,74.06,73.60,72.95,77.63,57.19,42.11,31.75,22.98
Kimi K2,85.00,83.46,81.46,80.42,79.14,85.00,68.86,53.68,41.23,30.18,89.12,87.46,86.70,85.09,84.19,89.12,77.11,66.40,53.95,44.04
