Models,Single-Turn Generation,,,,,Multi-Turn Editing,,,,
,Position 1,Position 2,Position 3,Position 4,Position 5,Position 1,Position 2,Position 3,Position 4,Position 5
Gemini 2.5 Pro,81.40,79.91,78.86,78.60,78.60,79.91,78.16,79.56,81.58,83.16
Gemini 2.5 Flash,79.82,74.04,75.44,75.00,75.26,72.19,69.74,72.81,73.25,78.25
Gemini 2.0 Flash,74.56,71.23,72.02,70.96,71.40,72.81,71.75,74.47,73.77,73.68
Gemini 2.0 Flash Lite,72.11,68.77,67.89,67.89,67.81,68.16,67.81,69.12,68.25,70.79
Claude 4 Opus,87.46,85.18,85.18,83.95,86.23,84.56,82.81,84.82,83.60,85.70
Claude 4 Sonnet,83.77,79.65,80.26,81.67,81.49,84.21,80.18,83.95,84.39,87.19
Claude 3.7 Sonnet,77.81,73.16,72.19,73.07,75.09,77.63,76.75,76.93,78.60,80.88
Claude 3.5 Sonnet,77.46,72.81,72.72,75.18,75.35,76.40,75.53,75.09,78.33,82.11
Claude 3.5 Haiku,65.00,62.46,61.49,62.89,67.28,60.70,63.68,64.65,65.79,73.16
Claude 3 Haiku,67.89,62.72,62.28,63.86,65.88,72.11,66.40,69.47,68.95,75.88
DeepSeek R1 0528,69.30,66.58,66.58,67.63,67.98,68.86,68.33,70.53,71.32,76.23
DeepSeek V3 0324,67.63,62.81,64.47,64.74,65.79,61.67,63.95,68.25,69.12,75.61
GPT 5,82.72,81.40,81.05,81.58,82.11,86.05,86.05,87.02,85.96,86.84
o4 mini,85.53,82.81,83.07,83.77,86.05,81.40,80.44,82.11,84.04,88.42
o3 mini high,73.25,72.19,69.04,71.84,72.11,77.46,74.65,77.19,78.95,82.54
GPT 4.1,78.95,76.75,76.40,78.33,78.33,78.68,75.88,77.63,77.19,79.56
GPT 4.1 mini,75.00,72.63,72.63,71.49,75.35,75.26,70.26,71.84,72.02,76.05
GPT 4o,78.77,72.72,71.40,71.75,72.54,78.42,75.79,77.19,78.42,81.93
GPT 4o mini,76.14,71.32,71.84,72.81,74.47,71.58,71.84,72.89,73.51,78.16
Grok 4,86.32,83.77,84.39,83.86,85.70,84.91,84.56,85.70,84.74,86.93
Grok 3 mini beta,79.56,76.40,76.40,75.44,79.47,73.07,72.89,72.89,75.26,81.14
Qwen 3 235B A22B,82.54,78.16,77.28,77.28,77.89,77.98,76.84,77.54,80.61,81.49
Qwen 3 32B,73.68,70.61,71.75,69.82,70.88,76.49,73.42,76.23,77.02,78.51
Qwen 3 30B A3B,71.67,67.81,68.60,68.95,72.02,77.19,74.39,77.02,75.53,78.60
Qwen 2.5 72B Instruct,73.07,71.05,69.47,68.33,69.74,73.07,70.88,72.89,72.72,74.21
Qwen 2.5 Coder,68.07,64.74,64.74,64.39,66.93,67.98,65.96,69.12,69.56,71.67
Gemma 3 27B,68.07,64.30,63.86,64.74,64.12,65.96,65.35,67.63,66.75,67.89
Gemma 3 12B,67.98,66.14,64.30,63.60,62.98,65.00,62.98,65.35,63.77,67.63
Mistral Medium 3,74.65,69.82,68.42,70.79,69.04,70.88,68.86,69.74,71.75,77.02
MiniMax M1,72.37,70.70,70.09,70.00,71.32,70.61,70.61,72.89,73.86,76.75
Kimi K2,83.42,79.12,77.46,78.25,77.46,84.47,83.86,82.19,83.51,86.93
