Models,Single-Turn Generation,,,,,,Multi-Turn Editing,,,,,
,0 Inst,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst,0 Inst,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst
Gemini 2.5 Pro,85.31,85.40,82.37,83.22,83.22,83.22,85.31,84.74,84.17,84.45,83.70,83.41
Gemini 2.5 Flash,74.50,71.85,70.52,68.53,70.33,69.48,74.50,74.41,73.65,73.27,71.94,71.75
Gemini 2.0 Flash,41.33,40.95,40.76,41.04,40.66,39.91,41.33,41.33,40.66,40.09,40.19,39.53
Gemini 2.0 Flash Lite,34.12,33.74,36.68,36.87,37.73,36.49,33.84,33.08,31.85,30.81,30.14,29.38
Claude 4 Opus,68.72,65.59,62.84,62.94,63.13,62.56,68.72,67.30,67.77,67.68,67.11,67.11
Claude 4 Sonnet,66.35,63.32,63.03,63.89,61.71,60.38,66.35,66.07,65.78,65.59,65.21,64.93
Claude 3.7 Sonnet,61.80,61.99,60.38,59.72,60.76,58.77,61.80,62.09,61.52,61.23,61.04,60.57
Claude 3.5 Sonnet,45.40,44.64,44.27,44.45,43.03,42.46,45.40,44.45,43.03,42.18,41.74,40.09
Claude 3.5 Haiku,37.63,37.06,35.55,34.22,34.69,33.46,37.63,35.17,32.04,30.90,30.14,28.63
Claude 3 Haiku,22.09,19.62,17.73,17.44,16.49,15.45,22.09,20.76,20.19,19.43,19.15,18.48
DeepSeek V3 0324,57.25,56.59,54.79,53.65,53.18,53.27,57.25,56.40,53.27,52.89,49.48,47.20
GPT 5,71.47,70.24,69.95,69.10,66.35,66.64,71.47,69.86,68.44,67.49,66.16,65.02
o4 mini,80.95,76.30,73.65,73.65,71.75,71.00,80.95,78.01,73.74,72.70,71.47,68.06
GPT 4.1,53.08,54.60,53.93,52.23,51.94,51.09,53.08,52.51,50.33,49.76,49.48,48.15
GPT 4.1 mini,58.86,56.78,54.22,53.65,52.99,52.51,58.86,58.01,55.92,54.31,54.03,53.65
GPT 4o,42.75,42.65,42.65,41.04,41.61,42.09,42.75,41.99,40.57,39.05,39.15,38.58
GPT 4o mini,22.27,24.83,24.83,26.45,25.69,25.12,22.27,21.71,20.19,20.28,19.91,19.43
Grok 3 mini beta,65.97,64.27,63.89,61.52,57.44,58.10,65.97,65.40,63.79,62.37,61.99,60.76
Qwen 3 30B A3B,72.42,72.23,71.94,71.66,72.13,71.56,72.42,72.04,71.00,71.09,69.86,69.38
Qwen 2.5 72B Instruct,39.05,38.67,38.29,37.16,36.97,35.92,39.05,37.54,36.40,35.45,35.55,34.88
Gemma 3 27B,35.92,34.69,34.60,34.12,34.12,32.51,35.92,35.55,33.65,32.23,32.99,31.37
Gemma 3 12B,29.29,28.44,30.71,29.76,30.14,28.91,29.29,27.96,26.07,24.83,25.12,23.89
Mistral Medium 3,40.66,39.43,37.63,37.82,39.15,38.67,40.66,40.76,39.53,39.53,38.77,38.48
Kimi K2,63.58,57.91,53.74,53.36,53.74,53.18,63.58,61.90,60.00,57.54,55.64,55.45
