Models,Single-Turn Generation,,,,,,,,,,Multi-Turn Editing,,,,,,,,,
,Instruction,,,,,Task,,,,,Instruction,,,,,Task,,,,
,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst,1 Inst,2 Inst,3 Inst,4 Inst,5 Inst
Gemini 2.5 Pro,75.83,74.60,76.21,77.37,76.87,75.83,56.78,45.50,37.63,29.57,78.96,77.87,78.99,78.89,78.98,78.96,61.61,51.18,41.04,32.80
Gemini 2.5 Flash,66.54,67.11,67.84,68.01,68.13,66.54,45.97,32.89,23.03,17.06,72.80,71.42,69.64,68.93,67.89,72.80,51.09,34.98,25.31,17.82
Gemini 2.0 Flash,61.71,61.37,61.42,62.01,62.48,61.71,37.25,22.18,13.46,8.44,74.41,71.37,70.36,69.45,69.52,74.41,51.28,36.02,24.64,17.73
Gemini 2.0 Flash Lite,62.94,63.93,65.28,65.40,65.69,62.94,41.33,27.68,18.39,12.89,67.30,64.36,63.06,61.37,61.19,67.30,42.75,27.11,17.35,10.62
Claude 4 Opus,78.86,76.02,77.54,77.65,78.75,78.86,57.91,47.96,38.96,35.17,85.59,85.36,85.21,84.31,84.11,85.59,72.89,61.71,52.04,43.70
Claude 4 Sonnet,75.73,74.69,75.29,74.27,75.20,75.73,56.40,44.17,35.36,28.53,84.45,85.40,85.24,84.50,83.87,84.45,73.46,62.37,52.70,44.64
Claude 3.7 Sonnet,72.42,68.53,68.18,68.06,68.38,72.42,47.01,31.85,23.51,18.96,79.53,78.48,77.91,77.18,76.76,79.53,62.46,48.53,38.58,30.33
Claude 3.5 Sonnet,70.52,68.25,68.56,68.15,67.28,70.52,47.01,31.94,22.37,14.88,80.57,76.40,75.23,74.29,73.12,80.57,60.28,44.45,35.73,27.20
Claude 3.5 Haiku,63.22,60.19,61.45,61.80,62.77,63.22,35.92,22.84,16.40,11.66,78.67,75.50,72.51,70.52,68.99,78.67,58.58,41.23,30.52,22.46
Claude 3 Haiku,61.61,59.91,60.98,60.97,60.45,61.61,36.68,23.13,15.83,9.95,72.80,71.28,69.23,67.39,67.45,72.80,52.32,36.59,26.82,18.58
DeepSeek V3 0324,52.80,54.74,55.67,55.81,55.79,52.80,29.76,19.24,11.28,7.77,70.05,66.49,65.72,64.83,62.71,70.05,45.31,31.56,20.38,11.37
GPT 5,82.18,82.18,81.86,82.09,82.82,82.18,68.53,55.17,47.01,40.95,85.59,86.30,87.05,85.85,85.76,85.59,74.50,66.64,57.35,50.14
o4 mini,73.18,72.27,73.33,73.08,73.82,73.18,53.93,43.22,33.36,27.20,81.52,80.47,79.53,76.99,75.81,81.52,66.64,54.60,42.84,32.61
GPT 4.1,68.63,65.12,66.76,66.30,66.67,68.63,42.27,29.48,20.57,13.65,74.12,72.89,71.97,71.75,70.81,74.12,54.31,41.04,32.70,24.08
GPT 4.1 mini,67.20,66.40,68.63,67.89,67.41,67.20,43.60,30.71,21.99,14.88,71.75,69.72,69.23,68.53,67.72,71.75,49.67,34.60,26.26,18.20
GPT 4o,60.85,60.85,61.48,61.75,61.93,60.85,36.40,22.75,14.98,9.95,76.40,73.13,71.94,70.31,69.93,76.40,53.93,37.91,28.44,20.38
GPT 4o mini,65.88,65.40,65.72,65.64,65.63,65.88,42.65,28.25,20.19,14.41,73.93,71.85,70.36,68.39,67.22,73.93,52.32,36.21,24.93,17.06
Grok 3 mini beta,70.05,70.05,69.61,69.12,68.99,70.05,51.09,38.10,28.15,20.66,78.67,75.45,73.46,72.23,71.09,78.67,58.39,43.89,32.99,24.64
Qwen 3 30B A3B,67.77,62.89,63.76,64.10,63.00,67.77,42.09,29.67,22.65,14.50,73.27,71.04,70.74,68.98,68.91,73.27,52.89,39.72,29.10,21.90
Qwen 2.5 72B Instruct,64.83,63.65,65.97,64.88,66.14,64.83,40.76,28.63,18.86,15.92,74.50,69.43,69.38,67.70,67.51,74.50,50.24,37.06,26.73,19.24
Gemma 3 27B,61.99,62.09,62.53,63.51,63.56,61.99,37.73,24.17,16.30,11.00,66.92,64.83,64.01,63.44,63.41,66.92,41.71,27.30,17.91,12.32
Gemma 3 12B,61.33,62.09,62.46,63.25,62.29,61.33,38.20,24.17,16.30,9.19,66.92,63.65,63.44,61.73,60.76,66.92,41.71,26.54,16.40,10.05
Mistral Medium 3,62.37,61.28,61.90,62.44,62.45,62.37,37.25,23.13,15.83,9.86,69.67,64.31,63.95,63.67,63.37,69.67,42.94,27.96,18.48,11.66
Kimi K2,62.75,63.65,64.80,64.38,64.76,62.75,41.61,27.77,19.05,11.94,76.97,74.64,74.31,72.94,73.65,76.97,57.35,44.17,35.73,27.87
