Models,Code Generation,,,,,Code Editing,,,,
,Position 1,Position 2,Position 3,Position 4,Position 5,Position 1,Position 2,Position 3,Position 4,Position 5
Gemini 2.5 Pro,76.78,75.83,77.54,76.97,77.25,76.49,76.59,78.77,80.57,82.46
Gemini 2.5 Flash,70.52,67.39,69.57,67.58,65.59,66.16,64.93,67.39,67.87,73.08
Gemini 2.0 Flash,63.41,60.95,63.79,61.33,62.94,69.10,67.87,68.53,69.76,72.32
Gemini 2.0 Flash Lite,67.39,65.21,65.97,63.60,66.26,60.38,60.09,61.42,60.19,63.89
Claude 4 Opus,79.91,77.91,78.29,77.06,80.57,84.83,84.64,83.41,82.75,84.93
Claude 4 Sonnet,75.64,75.45,75.26,74.03,75.64,81.90,85.31,84.17,82.75,85.21
Claude 3.7 Sonnet,70.81,65.97,69.38,67.01,68.72,76.30,76.40,76.02,75.73,79.34
Claude 3.5 Sonnet,67.87,67.01,67.77,65.78,67.96,72.32,71.94,71.94,72.51,76.87
Claude 3.5 Haiku,63.03,62.46,61.52,62.65,64.17,67.58,66.26,68.06,68.44,74.60
Claude 3 Haiku,62.65,57.82,60.66,60.38,60.76,68.63,66.35,68.25,64.74,69.29
DeepSeek V3 0324,55.64,56.11,56.11,55.55,55.55,58.29,59.34,62.75,64.74,68.44
GPT 5,83.51,82.37,83.70,81.33,83.22,86.26,86.92,86.07,84.55,85.02
o4 mini,75.17,74.31,74.41,71.56,73.65,73.46,74.31,76.11,75.55,79.62
GPT 4.1,67.20,65.97,68.44,64.55,67.20,71.28,69.76,72.42,69.29,71.28
GPT 4.1 mini,68.82,67.49,69.95,63.79,67.01,67.30,66.54,69.38,65.97,69.38
GPT 4o,62.84,61.61,63.32,60.28,61.61,68.44,68.15,71.09,68.06,73.93
GPT 4o mini,67.01,64.83,66.26,64.45,65.59,67.30,65.97,67.49,64.83,70.52
Grok 3 mini beta,69.10,67.39,69.48,68.44,70.52,67.11,69.86,69.76,72.23,76.49
Qwen 3 30B A3B,62.94,63.03,64.36,62.65,61.99,66.73,68.06,69.86,69.19,70.71
Qwen 2.5 72B Instruct,66.54,64.08,68.25,65.88,65.97,66.35,65.88,68.82,67.20,69.29
Gemma 3 27B,65.97,62.56,64.17,63.41,61.71,62.27,61.80,62.65,63.13,67.20
Gemma 3 12B,64.36,62.37,63.13,60.76,60.85,60.76,58.67,60.57,58.96,64.83
Mistral Medium 3,63.32,61.23,63.41,61.71,62.56,60.38,58.67,63.79,64.83,69.19
Kimi K2,66.64,64.17,65.97,62.94,64.08,72.61,72.51,74.69,73.27,75.17
